Species	Ne	logNe	t	midT	Mass.g
Pongo_abelii	64334.3460198508	4.8084428905685	283062.924751258	323960.431063546	56750
Pongo_abelii	74643.1142338634	4.87298975059868	364857.937375834	411345.389234977	56750
Pongo_abelii	101980.106856381	5.00851546269237	457832.841094121	510674.282424416	56750
Pongo_abelii	125864.177454647	5.09990214196251	563515.723754711	623579.629393664	56750
Pongo_abelii	117346.343177267	5.06946956037961	683643.535032618	751917.084538104	56750
Pongo_pygmaeus	8824.36475509661	3.94568345136456	23805.5875388139	37466.9989376176	57150
Pongo_pygmaeus	44568.2806704966	4.64902588044654	51128.4103364212	66808.2721422317	57150
Pongo_pygmaeus	6944.21313863955	3.84162304216764	82488.1339480421	100484.668791495	57150
Pongo_pygmaeus	5782.99317381634	3.76215267966731	118481.203634948	139136.6960355	57150
Pongo_pygmaeus	8118.14744069835	3.90945693465067	159792.188436051	183499.494871459	57150
Pongo_pygmaeus	15217.6080355201	4.18234639365578	207206.801306866	234416.822134417	57150
Pongo_pygmaeus	28107.7103237285	4.44882546907699	261626.842961969	292857.098303419	57150
Pongo_pygmaeus	44388.9575356729	4.64727494584039	324087.353644869	359931.826343861	57150
Pongo_pygmaeus	54685.3292336075	4.73787083113298	395776.299042853	436916.731902634	57150
Pongo_pygmaeus	55865.8057318706	4.74714606681602	478057.164762415	579471.396049653	57150
Pongo_pygmaeus	40390.351320189	4.60627763073265	680885.627336892	814481.248880256	57150
Pongo_tapanuliensis	3324.46673319856	3.52172199147283	30483.6927240272	47828.1279517365	56750
Pongo_tapanuliensis	54764.5480556047	4.73849950800528	65172.5631794459	84909.6361181909	56750
Pongo_tapanuliensis	54874.6312411628	4.73937161479066	104646.709056936	127106.480336602	56750
Pongo_tapanuliensis	69444.0278530739	4.84163490260093	149566.251616268	175124.313214382	56750
Pongo_tapanuliensis	81733.8740230648	4.91240208410131	200682.374812496	229766.131032417	56750
Pongo_tapanuliensis	92428.1063108893	4.96580405519871	258849.887252339	291945.702152567	56750
Pongo_tapanuliensis	97114.971241525	4.98728618589552	325041.517052795	362702.84785297	56750
Pongo_tapanuliensis	104652.64335879	5.01975020239891	400364.178653145	443220.831130693	56750
Pongo_tapanuliensis	102834.376965467	5.01213832118325	486077.483608242	534846.144262494	56750
Pongo_tapanuliensis	75792.885920754	4.87962844375403	583614.804916746	702262.864040649	56750
Pseudois_nayaur	23000.1585862042	4.36173083049046	16650.8598209289	25933.8988374477	45000
Pseudois_nayaur	51434.9166618529	4.71125804049945	35216.9378539665	45567.7322644626	45000
Pseudois_nayaur	82757.0756705617	4.91780513590166	55918.5266749587	67459.8920336206	45000
Pseudois_nayaur	96518.6391875876	4.98461119017948	79001.2573922825	91870.1357662017	45000
Pseudois_nayaur	103282.473818637	5.01402663159102	104739.014140121	119088.098971617	45000
Pseudois_nayaur	113256.265251641	5.05406223619439	133437.183803114	149436.731667266	45000
Pseudois_nayaur	127893.63710994	5.10684893824893	165436.279531419	183276.130285901	45000
Pseudois_nayaur	144045.830796383	5.15850069275647	201115.981040383	221007.810337339	45000
