Species	midT	logNe	medPred	meanPred	hpdi025	hpdi975	hpdi25	hpdi75	seMean	seMedian	se025	se975	Model
Elephas_maximus	118153.548027791	3.33113740049336	3.34023832158087	3.34117687173617	2.83685367791929	3.86446564671039	3.15243887940697	3.49430469740007	0.0698599666810291	0.0305984030134026	1.98698251371887e-08	0.269199888081715	Combined
Macropus_giganteus_dnaZoo	118698.970040021	4.99260730413333	4.92151337412809	4.92125203433927	4.49725308487524	5.379441049523	4.77206022600826	5.0906632246674	0.0599293693017949	0.0277614485053659	6.47635406626911e-09	0.225443576463102	Human-only
Macropus_giganteus_dnaZoo	118698.970040021	4.99260730413333	4.45416939747378	4.45718345918845	3.79817435474265	5.18237576203675	4.20917798261232	4.68256894230574	0.411067632747277	0.290702695837686	1.01032516504725e-08	1.23527150050429	Climate-only
Macropus_giganteus_dnaZoo	118698.970040021	4.99260730413333	5.11008218150307	5.11218547967545	4.60033252696941	5.60636770943898	4.91954233511757	5.28538982861309	0.0852075817571747	0.0422892362219185	6.6484663295747e-09	0.32255952506346	Combined
Dicerorhinus_sumatrensis_sumatrensis	118938.138332861	4.11114621922487	4.29412919131176	4.29727075020664	3.79288428110412	4.70899321849109	4.17041190593535	4.48286166294112	0.0898452250622427	0.0447488830017253	3.28725415802929e-07	0.319025448339739	Human-only
Dicerorhinus_sumatrensis_sumatrensis	118938.138332861	4.11114621922487	3.61048382324124	3.61097482685867	2.89910359352795	4.28029620405743	3.37421409268033	3.84669698138566	0.372430638381328	0.25300074244978	1.9395041298327e-09	1.15009056288447	Climate-only
Dicerorhinus_sumatrensis_sumatrensis	118938.138332861	4.11114621922487	4.12236908548001	4.13199148314286	3.62763049591835	4.69309920660986	3.94918130749838	4.29927293825203	0.0737218910041995	0.0317976667396613	3.75420718411056e-08	0.288395725814263	Combined
Sus_scrofa_scrofa	119014.577990343	4.32956904771168	4.83462041141645	4.84266347340337	4.39895018182281	5.28280237185062	4.69753903814183	5.00438898818884	0.316658710092659	0.255079611170911	2.19779273501773e-06	0.828035539674111	Human-only
Sus_scrofa_scrofa	119014.577990343	4.32956904771168	4.26293579219628	4.26091308067891	3.52892218969873	4.96492441334339	4.01197494399541	4.49814515751347	0.141650957244195	0.0622173602914503	3.37875232886546e-11	0.547125088143867	Climate-only
Sus_scrofa_scrofa	119014.577990343	4.32956904771168	4.41143808094263	4.42293441867488	3.88376723543158	4.90507635756989	4.23790041967952	4.5668457404886	0.0750879437708587	0.0330784492842714	2.07813966512776e-07	0.310091056470183	Combined
Babyrousa_celebensis_dnaZoo	119316.820321001	5.57747794410641	5.33937774378717	5.34057345222386	4.92509352975532	5.83439638114104	5.20215995503705	5.51829640497193	0.111050289111368	0.0617391060686173	8.99975654918146e-07	0.384544244845998	Human-only
Babyrousa_celebensis_dnaZoo	119316.820321001	5.57747794410641	4.6160414183921	4.61701535768157	3.95660988428717	5.29213516255527	4.37944389710191	4.84316491972242	1.03999112688187	0.924360207392931	1.34393909676696e-06	2.33102560411455	Climate-only
Babyrousa_celebensis_dnaZoo	119316.820321001	5.57747794410641	5.54255043742423	5.54565232145946	5.03521763612714	6.09636259662914	5.36301137592098	5.71830932170454	0.0754462561664044	0.0333114452594299	1.79204381796239e-07	0.288567439618741	Combined
Rangifer_tarandus_sibiricus	119463.633617474	5.50351562276437	5.08659738500662	5.09495962780021	4.62819130922927	5.51610743645838	4.93854402899802	5.23964965311048	0.220205852698672	0.173821110656342	2.50970164843122e-06	0.628523567379552	Human-only
Rangifer_tarandus_sibiricus	119463.633617474	5.50351562276437	4.73375540304722	4.72547715075838	4.02996694293171	5.39735660002872	4.50899664401103	4.96444923484747	0.726255243716244	0.59253079626977	4.70909303421029e-06	1.8513807735168	Climate-only
